20000000,yo,966438564,zzz
20000001,ss fff,747385742,sfff61
20000002,qqf fss,111111111,qfss71
20000003,ddd ff,-1674115755,dff61
20000004,sss ssdd,614327182,sssdd81
20000005,we ee,-558038585,wee51
20000006,sdsd sfhf,614327182,ssfhf91
20000007,ssss ddddd,222222233223,sddddd101
20000008,s,12,ss11
20000009,ddf flfl,2222222222222222222,dflfl81
20000010,0,0,0011
20000011,aa cdr,222,acdr61
20000012,sdg gffg,8849859,sgffg81
20000013,ghb kgk,1234345,gkgk71
20000014,amr nasr,1234554,anasr81
20000015,qwp ofod owod,23343223,qofod1312
20000016,asadd,51655656,aasadd51
20000017,csdkslfk,54545454121,ccsdkslfk81
20000018,sffl,122334564,ssffl41
20000019,adadad,6555225544,aadadad61
